# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2022-01-30T00:00:00.0,
# Date end (ISO 8601): 2025-01-01T00:00:00.0,
# Latitude (positive North,ISO 19115): 43.9804
# Longitude (positive East,ISO 19115): 0.5724
# Altitude (m): 128.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2026-01-22,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2022-01-30T00:00:00.0/2022-01-30T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-30T01:00:00.0/2022-01-30T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-30T02:00:00.0/2022-01-30T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-30T03:00:00.0/2022-01-30T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-30T04:00:00.0/2022-01-30T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-30T05:00:00.0/2022-01-30T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-30T06:00:00.0/2022-01-30T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-30T07:00:00.0/2022-01-30T08:00:00.0;46.0969;19.7488;9.2870;10.4618;129.9304;17.7507;2.6619;15.0888;38.0158;1.0000,
2022-01-30T08:00:00.0/2022-01-30T09:00:00.0;252.0224;152.8517;106.9506;45.9011;575.6784;113.6830;32.9484;80.7346;209.3799;1.0000,
2022-01-30T09:00:00.0/2022-01-30T10:00:00.0;437.6100;304.4035;241.0562;63.3472;769.1087;271.7884;183.5623;88.2261;559.1166;1.0000,
2022-01-30T10:00:00.0/2022-01-30T11:00:00.0;573.3054;422.0129;350.8232;71.1897;857.6899;266.1939;82.1746;184.0193;212.0199;1.0000,
2022-01-30T11:00:00.0/2022-01-30T12:00:00.0;649.8674;490.3873;416.7693;73.6179;899.7119;279.2553;38.9791;240.2762;84.1350;1.0000,
2022-01-30T12:00:00.0/2022-01-30T13:00:00.0;662.0840;500.4019;424.1460;76.2559;898.8091;286.8748;41.0083;245.8666;86.9701;1.0000,
2022-01-30T13:00:00.0/2022-01-30T14:00:00.0;609.1288;450.9916;371.9946;78.9970;856.1893;228.1245;18.0638;210.0607;40.4447;1.0000,
2022-01-30T14:00:00.0/2022-01-30T15:00:00.0;494.6169;348.8831;272.9949;75.8882;771.6562;259.6479;120.6853;138.9626;364.9687;1.0000,
